OpenTime,Open,High,Low,Close,Volume,CloseTime
27-Dec-2025 08:00:00,87539.26,87677,87370.73,87475.98,1077.75463,27-Dec-2025 11:59:59
27-Dec-2025 12:00:00,87475.99,87589.99,87308.05,87551.25,749.39054,27-Dec-2025 15:59:59
27-Dec-2025 16:00:00,87551.26,87591,87442.08,87569.39,566.59122,27-Dec-2025 19:59:59
27-Dec-2025 20:00:00,87569.39,87984,87499.99,87877.01,885.11148,27-Dec-2025 23:59:59
28-Dec-2025 00:00:00,87877,87961.37,87705.97,87740.01,672.08653,28-Dec-2025 03:59:59
28-Dec-2025 04:00:00,87740,87837.99,87614.79,87730.85,442.23022,28-Dec-2025 07:59:59
28-Dec-2025 08:00:00,87730.86,88010,87720,87883.25,760.04376,28-Dec-2025 11:59:59
28-Dec-2025 12:00:00,87883.25,88088.75,87794.86,87836.27,821.25662,28-Dec-2025 15:59:59
28-Dec-2025 16:00:00,87836.27,87931.59,87500.26,87520.75,881.83702,28-Dec-2025 19:59:59
28-Dec-2025 20:00:00,87520.75,88049.53,87435,87952.71,868.8387,28-Dec-2025 23:59:59
29-Dec-2025 00:00:00,87952.71,90169.06,87813.17,90123.55,4759.05691,29-Dec-2025 03:59:59
29-Dec-2025 04:00:00,90123.55,90406.08,89507.03,89617.71,3502.98691,29-Dec-2025 07:59:59
29-Dec-2025 08:00:00,89617.71,89825.01,87567.65,87567.66,4608.77018,29-Dec-2025 11:59:59
29-Dec-2025 12:00:00,87567.65,88190.71,86806.5,87691.62,4178.35066,29-Dec-2025 15:59:59
29-Dec-2025 16:00:00,87691.62,87996.22,87312.34,87366.23,1457.68333,29-Dec-2025 19:59:59
29-Dec-2025 20:00:00,87366.23,87597.59,87071.49,87237.13,1388.13776,29-Dec-2025 23:59:59
30-Dec-2025 00:00:00,87237.13,87423.65,86845.66,87379,1520.57005,30-Dec-2025 03:59:59
30-Dec-2025 04:00:00,87378.99,87600,87157.07,87502.85,1077.59137,30-Dec-2025 07:59:59
30-Dec-2025 08:00:00,87502.85,88224.76,87502.84,87903.89,2468.25039,30-Dec-2025 11:59:59
30-Dec-2025 12:00:00,87903.89,89159.52,87834.01,89016.35,3882.44573,30-Dec-2025 15:59:59
30-Dec-2025 16:00:00,89016.36,89400,87960.2,88226.16,2912.38545,30-Dec-2025 19:59:59
30-Dec-2025 20:00:00,88226.15,88573.65,87886.46,88485.49,1244.66702,30-Dec-2025 23:59:59
31-Dec-2025 00:00:00,88485.5,88819.8,88172.15,88453.04,1131.98072,31-Dec-2025 03:59:59
31-Dec-2025 04:00:00,88453.04,88638.76,88325.06,88613.12,972.41187,31-Dec-2025 07:59:59
31-Dec-2025 08:00:00,88613.11,89046.6,88393.52,89011.52,1674.66744,31-Dec-2025 11:59:59
31-Dec-2025 12:00:00,89011.51,89200,87766.59,87953.97,3261.85615,31-Dec-2025 15:59:59
31-Dec-2025 16:00:00,87953.97,88053.49,87400.41,87541.85,2936.14316,31-Dec-2025 19:59:59
31-Dec-2025 20:00:00,87541.85,87879.04,87250,87648.22,1581.56113,31-Dec-2025 23:59:59
01-Jan-2026 00:00:00,87648.21,88088.1,87632.74,87846.02,833.74412,01-Jan-2026 03:59:59
01-Jan-2026 04:00:00,87846.01,87854.81,87550.43,87631.88,1108.52485,01-Jan-2026 07:59:59
01-Jan-2026 08:00:00,87631.88,88024.64,87631.87,88024.64,819.82493,01-Jan-2026 11:59:59
01-Jan-2026 12:00:00,88024.64,88113.45,87810.66,88032.18,1005.89204,01-Jan-2026 15:59:59
